Arabic_text,ar:manual_sentiment,ar:manual_confidence
خصوصا الشركات لأنو رح تكون هدف سهل لمحاولت اختراق سيرفر الشبكة التجارية ,Negative,0.8231
ألفين مبروك أخي تميم يعني والله بتستاهل فعلاً لأنك رجال معدَّل وأبضاي وزكرت والله ... ,Positive,1.0
يآأاساتر مين هووون بشوووف ,Negative,0.7474000000000001
يعني اذا كنت انا صاحب شركة كمان ما رح اخد غير الوجه الحسن ,Positive,0.49610000000000004
وحتى بالعدوان كانوا شركاء في مجزرة مروحين ... ,Negative,0.9124
أنو ربي قطة تكون صغيرة و ربيها أنا وتحبني شغلة حلوة مو ... ,Positive,1.0
ونضول كنت اشتريت فيا تياب ومكياجات وعملت حفلة كبيرة بلا مناسبة بس نوع من البريستيج والقنفشة ,Positive,0.4419
والموضوع كله هفة الغاء الدين الاسلامي وبالتدريج من حياة اولادنا ومن حياتنا هاد مو من حق ,Negative,0.8988
شو مطولة ستي واشملكم ريحة عطر راششتو على حالها .. ,Positive,0.5029
و بتمنى كون صديقة بيناتكن يا احلى منتدى ,Positive,1.0
هنن أوسخ وأوطى من أنو يحكوا على المرحوم حافظ الاسد ,Negative,1.0
و عاقبال ما نشوفك ... دكتور ناجح بإذن الله ... ,Positive,1.0
٢ بالأولى ووحدة بالتالتة .. إلا مادة السنة التانية ماعم تترفع .. ,Negative,0.7261000000000001
ولا عندها مشكلة لو تمت سنة .. قبل العرس .. ,Positive,0.3997
بختار اشكي لحالي وما أظلمه معي ,Negative,0.8198000000000001
قبل كمن سنة ... ولما توافدو اليهود من كل مناطق العالم ,Negative,0.5396000000000001
والله مبينة الوحدة الوطنية كتير منيح من تعليقات هالناس المعقدين ,Negative,0.7982
وصرت تسمع كلمة ممنوع الوقفة هون من واحد ما بيسوى فرنك ونص ,Negative,0.9084000000000001
كيف ... لما بتكون عما تقدم امتحان ووحدة صوبك عما تعلك ... ,Negative,0.7041000000000001
واللي مابتعرفه ياسيدي الكريم أو بجوز بتعرف وماذكرته انه مو الصيدلاني اللي عطاه الإبرة !! ,Negative,0.7106
والمتمرد يحترمه الكبار والصغار ؟؟ ,Negative,0.5469
كل عام وانتي بالف خير يا عمو والله يجعل ايامك كلها حلوة وناطرين رجعتك مشان الكاتووو و القهوة وعقبال فرحة التخرج .  ,Positive,1.0
لأن فيها خربان بيت متنل العين بالعن والسن بالسن ,Negative,0.9072
يعني في مخالفة ١٠٠٠ ليرة ؟ ,Negative,0.5112
انا بدعو صحبتكم لاحدي المواقع من جميع الانواع اضغط هنا ميمو ,Positive,0.6444000000000001
ملكة الحب ملاحظه جيده والله كنت بسألهم اليوم ليش مختفين بس الاختبار شغلني ان شاء الله اوفيكم بالاخبار عنهم «:confused:»  ,Positive,0.8993
ويتربى بعز ودلال والديه ان شاء الله ومبرك الك ,Positive,1.0
مواضيعك دائما مميزة .. ,Positive,0.9005000000000001
انو اللي لابسين البدلات يعني كتير عوكات وفايتين ,Negative,0.7363000000000001
في اشخاص بالأصل هنن عندون انفصام وأمراض نفسية بحاولو انو يعملو شي للفت الانظار ,Negative,1.0
حك راسه يحاول يتذكر وقال أجل أنا وين حطيت القلم ! ؟ ,Neutral,0.6039
وانا والمشاغب ... حنكون السبب «:d» ,Positive,0.5392
يلا تجربة أبتعادك جابت نتيجة واحلى نتيجة ,Positive,0.9012
بس يوم عالمي كمان بيستحق كل النسة هو والمرأة أكيد ,Positive,0.7057
خزيت العين عنك الله يحميك ,Positive,1.0
وطلع ضغطنا ونزل شي عشرين مرة خصوصي آخر شي المنتخب السعودي كان ضعيف مبارح ,Negative,1.0
إخواني قواكم الله وحفظكم ونصركم لكن بس المدونات بدها شكل أجمل وأكثر نظاما فقط حتى نرتفع باعلام القضيه ومعكم ان شاء الله  ,Positive,0.6882
ولا اقوى رافعة بالدنيا بترفعك عن الارض ,Negative,0.7017
واللي بيقول انا ضد تنظيم الدعاره بكرا بتشوفواول واحد واقف على الدورليفوت ويقضي شهوته ,Negative,1.0
لأنو انت وامثالك اذا بتستمروا في الاعتراض فقط ,Negative,1.0
بمسح دمعتها وبخفف عنها ,Positive,0.7259
بس ماحبيتها منك انو سبقتني مو نحنا متفقين نخطب سوا المهم سبقتني للخير . . . ,Positive,0.6955
يعني عم ياكلوا من ورى عرق و تعب الداعرات هلا ، ,Negative,1.0
يا ريت جسمك هالحلو بياخد عمر ,Positive,0.9043
فالاغلبية ما الكل ما بيسدقو يشوفوا واحد عم يبتسملون او وحدة واقفة ,Negative,0.6079
يا أخي هلكتنا وتعبتنا وفوتتنا بميت حيط ... ,Negative,1.0
ألف مبروووك والله يعينك على هالمسؤولية والأمانة بس أنت قدها وقدووود الله الله يا فتى القمة أقنعهم يغيرون ما تحت معرفي من كاتب جديد إلى أي شيء إذا قدرت تقنعهم بهالشي تكون فعلا ً شي .. ,Positive,1.0
او بكون عنجد انو عم يساعدها و هيي مجرد صديقة ,Positive,0.7211000000000001
تخرجت من الجامعة بمعدل ممتاز وما تعينت بالكلية ، وبنفس السنة ع الدورة التكميلية عينوا بالكلية ثلاثة من الطلاب معدلاتن «زفت» . ,Negative,0.7487
اي شو هالشاعرية لشام ينالك يا شام شقد الناس بتحبك وانا وحدة منن مع انوا ما زرتا غير ٥ مرات وبالبرد كمان  ,Positive,0.8004
يعني بالعاميه ياروح يمين ياروح شمال ,Negative,0.4146
عفوا أختي على الخطا الكتابي ,Positive,0.40490000000000004
أو غلطة لاتغتفر ... ,Negative,0.7169
لا تحوي على صور عالية التقنية .. ,Negative,0.525
فرجينا همتك ونشاطك ومواضيعك الحلوة ومناقشاتك الحكيمة ,Positive,0.9053
بس الزنب مش عليه الزنب على المفتشيين ,Negative,1.0
يالله لنشوف حركوا النقاش وسخنوه لكي نصل الى الحقيقة المفقودة ,Positive,0.6395000000000001
مبلى اخي كل الموظفين بيعانوا من هل الحالة مو بس انت ,Negative,0.9134
ولخمهـ بلآش بلآش خلي آلأحزآن بعيدهـ ,Positive,0.6053000000000001
معقول هالسؤال ... ,Negative,0.5131
كلياتنا منعرف أنو حضرتك هو رقم واحد ... ,Positive,0.6111
كان بودي نقل هذا ألأدراج أيضا بس ما بدي تقل عليك ,Positive,0.4061
ارجو افادتنا لانه مسافرين الاسبوع الجاى على غزه من السعوديه وشكرا ,Neutral,0.7326
وبتجنن طريقة سردك لإلو ... ,Positive,1.0
والله عطونا فرحة وأمل ورفعولنا معنوياتنا في بلاد الغربة . ,Positive,0.907
وارسم في خيالك شعب بيتحسر ,Negative,1.0
كل يلي بيحرك العالم هلأ هم اليهود ونحنا قاعدين وراضيين بكل الاحتيالات ,Negative,0.9237000000000001
الوسيط أنت فارس الكلمة وجزاك الله ألف خيراً على هالموضوع أنت مواضيعك طيبه مثلك للعلها في ميزان أعمالك عبدالله وبس ، عملاق القمة المتواضع  ,Positive,1.0
بس بوعدكن أنو اكون صديقة للجمعية .. ,Positive,1.0
كنت امرق من عشر سنين لهلق قدام هالسيارة ,Negative,0.39880000000000004
وانت نقلت القصيده بقى الاعتراض اكيد مو عليك او شي ,Negative,0.39880000000000004
وانتا مش عارف اصلا كيف عاملينها وشو حاطين فيها .. ,Negative,0.8082
شكلي رح اقلب على الخط مسبق الدفع .. ,Neutral,0.4652
شي مو طبيعي ضغطي ارتفع من الحكي الي كاتبينو فعلا حثاله الي عامل هاد البيج ... حسبنا الله ونعم الوكيل ,Negative,1.0
ممم ممم حضور فطور إي ليش لأ بنحضر أخي أنا حضور وممكن جيب معي إختي إخواتي بنات خالتي بنات عمتي بنات الجيران إي ما علينا  ,Positive,0.5962000000000001
يعني تفوقنا على المصريين بهالمجال ... ,Positive,0.7010000000000001
لاتقلي على الشباب عن جد مومعئولين يعني بدنا نضحك ولانزعل ولا شو ؟؟  ,Negative,0.5135000000000001
من اراد ان يتزوج على الطريقة الشرعية فهنيئا له من كل قلبي ,Positive,1.0
اذا حب يتكحل يتكحل وين المشكلة ,Positive,0.4541
أتعس لحظات بعيشها هاي اللحظات ,Negative,1.0
الله يبعد عن الطائفية ,Positive,0.6058
ولكو ايش هالموضوع القديم طلع غبره ,Negative,0.7347
يعني لو نحنا هيدي الـ«لو» ما بطيقها ,Negative,1.0
الكويت بلد نحترمه ونقدرها اعتقد النظام المعفن اللى فيها نظام بال عليه الزمن زى اللى عندنا بالظبط داهيه تاخدهم هما الاتنين  ,Negative,0.8185
يعطيك العافيه اول ما شفت الصور استغربت اول مره اشوفهن وارتحت انا مو بس انا اللي ما يعرفهن على العموم بالعااافيه  ,Positive,0.6954
هاااي علا الامورة شايفة كيف اكيد ياقمر انو كل الي اسمون علا ظراف وحبوبين ولطاف وبجنننو ,Positive,1.0
ويتفش البك براحتك بدون خجل ,Positive,0.712
وينظف البيئه ,Positive,0.6987
«3:» ليش بصلتك محروقة ودايما مستعجلة في الحكم على الاخرين ؟ ,Negative,1.0
ههه لك ياظالم كل هيدي الصفات فيي وأنا ماعندي خبر ههه ,Negative,0.5032
عم بمزح معكون اصحكون تزعلو ... ,Positive,0.3458
على حب البلد ونظافتها باغلاق المحلات لأيام وغرامة مالية ,Positive,0.31120000000000003
أنا بصراحة ما بتابع الفضائية السورية برامجها ما بتشد ,Negative,0.9036000000000001
بس عارف حالو غشيم لذلك بيسكت وبيسدّ بوزو وما بيحكي لحتى ما يفضح حالو ,Negative,0.8966000000000001
ايـــ ه دنيا عجيبة غريبة تكفنوني على هل الشغلة ,Negative,0.7194
لا يغني عن معالجة اخلاقية للسلوكيات الخيانية لدى العديد من اطراف هالحرب . ,Negative,0.912
لا نهر و لا بطيخ نحن للأسف ما ممكن نصير خلق ,Negative,1.0
رجاءا ما تدخلو عليها وتغلبو حالكم وتنزلو شتم .. ,Negative,0.8991
و نصير نتفرّج كيف عم يندكّ ,Negative,0.8181
يعطيك العافية جورية عندي فكرة اذا حدا عندو موشحات اواناشيد يحطها في المنتدى ,Positive,0.8227
هل اصبح الضحك حقاً قناعاً نواجه به الأشخاص ... ,Negative,0.9032
وفيها اماكن خرج تنزار . ,Positive,0.7165
وأيضاً إن طلق الزوج زوجته طلاق الثلاث كأن يقول لها أنت طالق ثلاثاً ، ,Neutral,0.7306
الحمد لله انو ما ولد بالعراق ,Negative,0.7061000000000001
بس بتعرفو انه خلص صرنا اصدقاء ,Positive,1.0
إذا مفكر حالك حضاري فاحترم قانون السير ,Negative,0.8639
اففف احم مبروك اي والله بتستاهل ,Positive,1.0
وهدا الشي يمكن عمنلمسو هلق اكتر من قبل ,Neutral,0.4959
أهلا فيك نونو شرفت وتكرم عيونك هي أحلى ئطعة كاتو وكاسة عصير كرمالك يا غالي ,Positive,1.0
و بنعمل عرسنا بمنتدى شباب لك أنا مع الأخ «voodoo» بكلامه ، ,Positive,0.8353
يابختهم صحبات ماما  ,Positive,0.7373000000000001
أنا ذهلت شو يعني يخلع نيعك ؟؟؟ ,Negative,0.8008000000000001
و على كل حال اكيد هلء الايميلات عندكم رح تمتلىء من المعجبين مو هيك ؟؟؟ ,Positive,0.8053
وليس من اجل كلام الناس والبورظه ,Negative,0.507
صبري وحتسبي إذا كنتي بتحبي ,Positive,0.6347
كل عام وانتم بالف خير ,Positive,1.0
الحياة حلوة بس نفهمها ..  ,Positive,1.0
انتبهو يا عالم سرقه الاعضاء متفشيه صارت بالبلد و عم يوم عليها اطباء معروفين فلا تامنو بالاطباء بسوريا بشكل عمياني ,Negative,0.9127000000000001
لك هاتو مفاتيحها لنعمل فتلة بالعريس «dr.fox» ,Positive,0.7259
يعني ما بدها كتيير تعليق واضحة ,Neutral,0.40190000000000003
راح ينجح ,Positive,1.0
واللي تسكت تستاهل .. ,Negative,0.8959
وبتعسف عليك ضبوها هل سيرة بقا وحلنا نعرف كيف نسامح بعض ما حلنا ؟؟ حلنا !! ,Negative,0.5465
بلأسلحه المحظوره و القتل و القصف و الجنود المحبطين يلي بدهم يلاقوا متنفث لهم ,Negative,0.7961
وليس لكيفية قضاء يومه ومايفعله بحياته الخاصة ,Neutral,0.5997
تعرفت على الموقع عن طريق كاميليا صديقتي . هوه انا كنت بعرف قمر لبنان من قبل بس انقطعت علاقتنا فتلرة تقريبا سنه بعدين رجعنا اجتمعنااا هوون ,Positive,0.4636
و محاولة دفاع عقيمة عن النفس بإنو عمبحاول يترك مدخل محلو مفتوح ,Negative,0.7596
عم يحذرك من نادي الشريرات شو عامليلك نحنا ... ,Negative,0.6385000000000001
ليك عيني المجتمع بلا تفكير هو المجتمع اليتيم ,Negative,0.9121
بعد ناقصهن نلعب معن لعبة البروباغندا و الاعلام الحربي ,Negative,0.9198000000000001
ما رح اطول بالحكي بس عنجد اشتقنالهم ولوجودهم معنا الاخ دارك فايروس قال عمالقة اصدو انهم عمالقة بحضورهم ومكانتهم بيننا  ,Positive,0.6389
يقووول بحرووور ان كلمة مبروك غلط لغويا ,Neutral,0.5052
بل بظن انهم ورود ممكن يستخدموا اشواكهم وقت الضرورة ,Negative,0.8014
«1-» يا ريت تكبروا مساحة النادي الرياضي و قاعات الايروبيك ,Positive,0.49670000000000003
دخيلك ما فيها شيء و انا مستغرب انه في شاب حتى الان هو بتول . ,Negative,0.5146000000000001
انشاء الله تكمل معنا وما نصير متلك ,Positive,0.5845
